City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,impfondo,1.6381,18.0667,70.0,96,80,2.53,CG,1682313650
85,walvis bay,-22.9575,14.5053,65.35,88,75,6.91,NA,1682313881
86,bushehr,28.9684,50.8385,82.49,34,0,0.0,IR,1682313882
87,upernavik,72.7868,-56.1549,27.3,98,97,4.59,GL,1682313882
88,katsuura,35.1333,140.3,53.91,61,100,12.01,JP,1682313641
89,new norfolk,-42.7826,147.0587,67.91,40,1,5.01,AU,1682313882
90,luderitz,-26.6481,15.1594,61.5,62,100,7.81,NA,1682313614
91,bredasdorp,-34.5322,20.0403,64.22,91,100,6.08,ZA,1682313883
92,arraial do cabo,-22.9661,-42.0278,70.7,71,0,4.18,BR,1682313883
93,taoudenni,22.6783,-3.9836,79.86,21,0,8.43,ML,1682313883
94,adelaide,-34.9333,138.6,83.86,40,20,11.5,AU,1682313840
95,hasaki,35.7333,140.8333,64.29,41,100,11.12,JP,1682313677
96,ucluelet,48.9329,-125.5528,45.09,94,100,1.05,CA,1682313884
97,villa rica,33.7321,-84.9191,55.22,71,100,7.27,US,1682313884
98,lander,42.833,-108.7307,43.2,56,0,0.0,US,1682313884
99,niquelandia,-14.4739,-48.4597,66.88,81,9,3.47,BR,1682313885
100,aswan,24.0934,32.907,79.9,27,0,11.5,EG,1682313885
101,chapais,49.7834,-74.8492,35.38,99,100,4.85,CA,1682313886
102,sinnamary,5.3833,-52.95,75.61,88,99,0.2,GF,1682313886
103,cherskiy,68.75,161.3,37.26,74,2,5.64,RU,1682313886
104,grand gaube,-20.0064,57.6608,83.37,73,52,8.99,MU,1682313887
105,henties bay,-22.116,14.2845,65.59,76,64,7.4,NA,1682313887
106,lebu,-37.6167,-73.65,51.84,87,5,7.87,CL,1682313887
107,nemuro,43.3236,145.575,38.23,87,99,9.04,JP,1682313778
108,tautira,-17.7333,-149.15,79.23,86,100,11.56,PF,1682313887
109,hithadhoo,-0.6,73.0833,84.49,69,100,5.39,MV,1682313888
110,jamestown,42.097,-79.2353,42.39,93,100,5.75,US,1682313888
111,sao felix do xingu,-6.6447,-51.995,70.32,94,100,0.74,BR,1682313888
112,la ronge,55.1001,-105.2842,39.42,35,75,12.66,CA,1682313888
113,mahebourg,-20.4081,57.7,83.25,78,40,9.22,MU,1682313889
114,skrunda,56.6833,22.0167,52.14,86,97,3.65,LV,1682313889
115,arona,28.0996,-16.681,57.83,72,20,6.91,ES,1682313890
116,hobart,-42.8794,147.3294,68.25,51,0,12.66,AU,1682313890
117,rajanpur,29.1035,70.325,92.05,10,14,3.51,PK,1682313890
118,leningradskiy,69.3833,178.4167,6.66,90,12,15.99,RU,1682313890
119,kahului,20.8947,-156.47,77.02,76,40,3.44,US,1682313890
120,punta arenas,-53.15,-70.9167,41.11,93,100,6.91,CL,1682313891
121,tuy hoa,13.0833,109.3,89.46,57,35,9.53,VN,1682313825
122,qaanaaq,77.484,-69.3632,6.48,71,54,8.14,GL,1682313891
123,havelock,34.8791,-76.9013,65.95,89,0,3.44,US,1682313892
124,novikovo,51.1537,37.8879,51.44,76,54,3.09,RU,1682313892
125,murray bridge,-35.1167,139.2667,84.13,35,0,11.59,AU,1682313831
126,bubaque,11.2833,-15.8333,79.68,62,11,9.8,GW,1682313892
127,mbini,1.574,9.6134,77.47,86,95,3.24,GQ,1682313892
128,bilma,18.6853,12.9164,82.56,8,91,7.16,NE,1682313893
129,foix,42.8333,1.5833,45.09,84,81,3.76,FR,1682313893
130,jalu,29.0331,21.5482,72.07,31,0,13.11,LY,1682313894
131,tiksi,71.6872,128.8694,21.45,85,39,6.93,RU,1682313895
132,uppsala,60.0,17.75,35.11,93,100,9.22,SE,1682313896
133,port elizabeth,-33.918,25.5701,65.32,96,20,5.75,ZA,1682313896
134,maceio,-9.6658,-35.7353,78.24,83,20,4.61,BR,1682313896
135,tanout,14.9709,8.8879,78.01,8,88,8.93,NE,1682313897
136,gao,16.6362,1.637,80.78,20,14,7.38,ML,1682313897
137,ahipara,-35.1667,173.1667,61.05,56,37,18.14,NZ,1682313898
138,roseau,15.3017,-61.3881,78.62,76,53,1.97,DM,1682313898
139,meulaboh,4.1363,96.1285,87.01,66,96,3.62,ID,1682313898
140,tasiilaq,65.6145,-37.6368,30.36,96,98,8.5,GL,1682313899
141,pisco,-13.7,-76.2167,70.02,88,0,0.0,PE,1682313899
142,talnakh,69.4865,88.3972,36.21,82,78,8.9,RU,1682313651
143,cravo norte,6.3017,-70.2041,77.16,84,97,4.97,CO,1682313900
144,makakilo city,21.3469,-158.0858,77.32,74,100,8.05,US,1682313905
145,norrtalje,59.758,18.705,39.02,86,92,6.55,SE,1682313907
146,navirai,-23.065,-54.1906,65.95,97,69,4.74,BR,1682313907
147,djibo,14.1022,-1.6306,83.21,16,49,9.17,BF,1682313912
148,kapaa,22.0752,-159.319,78.78,93,75,5.75,US,1682313912
149,dalby,-27.1833,151.2667,73.38,46,13,25.14,AU,1682313618
150,salinas,36.6777,-121.6555,55.42,83,100,12.66,US,1682313913
151,hamilton,39.1834,-84.5333,38.73,80,0,0.0,US,1682313913
152,port hardy,50.6996,-127.4199,44.6,93,100,8.05,CA,1682313913
153,norman wells,65.282,-126.8329,8.64,85,100,9.22,CA,1682313914
154,porto walter,-8.2686,-72.7439,71.55,98,98,1.95,BR,1682313914
155,ponta do sol,32.6667,-17.1,63.23,76,38,3.78,PT,1682313914
156,xai-xai,-25.0519,33.6442,72.37,78,9,4.41,MZ,1682313915
157,bahia blanca,-38.7196,-62.2724,56.82,82,0,4.0,AR,1682313915
158,saravan,39.7196,45.6483,56.52,50,58,5.5,AM,1682313915
159,dhidhdhoo,6.8833,73.1,84.63,68,88,9.31,MV,1682313915
160,poum,-20.2333,164.0167,78.71,78,51,23.02,NC,1682313916
161,auki,-8.7676,160.7034,82.83,77,28,1.61,SB,1682313916
162,hadejia,12.4498,10.0444,80.78,50,93,12.71,NG,1682313643
163,samarai,-10.6167,150.6667,84.88,71,24,8.99,PG,1682313917
164,khatanga,71.9667,102.5,25.83,84,15,8.32,RU,1682313917
165,konosha,60.9736,40.257,49.98,66,74,7.31,RU,1682313917
166,nabire,-3.3667,135.4833,85.75,67,29,5.79,ID,1682313801
167,maldonado,-34.6667,-54.9167,63.14,95,89,4.97,UY,1682313917
168,altoona,40.5187,-78.3947,39.45,81,5,3.62,US,1682313918
169,east london,-33.0153,27.9116,67.14,72,0,5.75,ZA,1682313918
170,srednekolymsk,67.45,153.6833,34.86,85,100,16.2,RU,1682313919
171,tokmak,47.2514,35.7058,53.78,70,37,4.36,UA,1682313919
172,eregli,37.5133,34.0467,48.81,73,41,4.68,TR,1682313919
173,ampanihy,-24.7,44.75,69.57,88,20,10.69,MG,1682313919
174,richards bay,-28.783,32.0377,65.07,82,56,4.9,ZA,1682313920
175,namibe,-15.1961,12.1522,74.73,71,36,8.7,AO,1682313920
176,severo-kurilsk,50.6789,156.125,32.45,79,100,22.53,RU,1682313920
177,coahuayana,18.7333,-103.6833,74.32,85,71,2.57,MX,1682313921
178,doha,25.2867,51.5333,87.78,32,0,12.66,QA,1682313921
179,maragogi,-9.0122,-35.2225,76.01,86,88,6.38,BR,1682313921
180,alofi,-19.0595,-169.9187,76.89,78,75,6.91,NU,1682313922
181,ostrovnoy,68.0531,39.5131,22.08,87,11,16.24,RU,1682313922
182,yumen,40.2833,97.2,58.77,20,34,27.11,CN,1682313922
183,belmonte,-15.8631,-38.8828,74.62,91,100,10.78,BR,1682313922
184,russell,32.3502,-85.1999,63.68,48,0,5.75,US,1682313923
185,sao filipe,14.8961,-24.4956,73.74,71,3,14.79,CV,1682313923
186,pringsewu,-5.3582,104.9744,84.78,79,37,5.03,ID,1682313829
187,cap malheureux,-19.9842,57.6142,83.46,73,52,8.99,MU,1682313923
188,mattru,7.6244,-11.8332,78.78,90,32,1.12,SL,1682313923
189,nhulunbuy,-12.2333,136.7667,81.21,89,75,10.36,AU,1682313924
190,saskylakh,71.9167,114.0833,17.92,88,68,7.23,RU,1682313924
191,cabo san lucas,22.8909,-109.9124,76.3,58,95,13.73,MX,1682313924
192,bulawayo,-20.15,28.5833,61.63,49,73,4.83,ZW,1682313924
193,amur,54.0,128.0,33.57,48,68,11.21,RU,1682313925
194,bonthe,7.5264,-12.505,80.96,85,25,3.94,SL,1682313925
195,cedar city,37.6775,-113.0619,45.57,73,75,12.66,US,1682313926
196,bondo,3.8146,23.6866,68.38,94,92,1.34,CD,1682313926
197,port keats,-14.25,129.55,91.67,45,6,4.76,AU,1682313927
198,miri,4.4148,114.0089,78.94,89,40,5.75,MY,1682313927
199,mao,39.8885,4.2658,59.56,100,20,5.75,ES,1682313927
200,magadan,59.5667,150.8,40.53,72,100,12.08,RU,1682313927
201,chipinge,-20.1883,32.6236,62.96,68,62,1.03,ZW,1682313928
202,suntar,62.1444,117.6319,35.1,66,43,3.74,RU,1682313928
203,itoman,26.1247,127.6694,79.18,63,20,10.36,JP,1682313928
204,de aar,-30.6497,24.0123,60.82,52,100,4.88,ZA,1682313928
205,camacha,33.0833,-16.3333,60.22,77,20,3.44,PT,1682313928
206,codrington,-38.2667,141.9667,73.99,39,0,6.46,AU,1682313929
207,los rastrojos,10.0259,-69.2417,71.96,83,90,1.14,VE,1682313929
208,la paz,-16.5,-68.15,44.58,85,1,2.3,BO,1682313929
209,belaya gora,68.5333,146.4167,32.38,87,100,14.56,RU,1682313930
210,acapulco,16.8634,-99.8901,80.42,78,40,4.61,MX,1682313930
211,davenda,53.5556,119.317,32.61,68,71,8.77,RU,1682313930
212,kenai,60.5544,-151.2583,35.69,54,100,16.11,US,1682313930
213,aksarka,66.5606,67.7975,21.33,80,100,16.02,RU,1682313930
214,san angelo,31.4638,-100.437,49.53,89,100,9.22,US,1682313931
215,port lincoln,-34.7333,135.8667,72.36,52,0,11.01,AU,1682313931
216,springdale,36.1867,-94.1288,46.31,61,0,3.44,US,1682313931
217,butaritari,3.0707,172.7902,82.76,81,94,18.88,KI,1682313931
218,ca mau,9.1769,105.15,97.34,38,9,9.69,VN,1682313712
219,waihi beach,-37.4,175.9333,61.92,61,6,10.0,NZ,1682313933
220,arecibo,18.4724,-66.7157,76.01,91,49,5.41,PR,1682313933
221,kaitangata,-46.2817,169.8464,50.94,72,37,13.82,NZ,1682313933
222,jaru,-10.4389,-62.4664,70.93,97,95,1.39,BR,1682313934
223,flin flon,54.7682,-101.865,25.56,91,36,5.77,CA,1682313934
224,constitucion,-35.3333,-72.4167,52.92,88,6,6.38,CL,1682313934
225,dalbandin,28.8947,64.4101,86.13,13,99,6.29,PK,1682313934
226,zhigansk,66.7697,123.3711,28.62,81,94,13.69,RU,1682313935
227,galveston,29.3669,-94.9669,60.01,79,55,3.0,US,1682313935
228,hambantota,6.1241,81.1185,93.54,66,40,4.61,LK,1682313936
229,tibu,8.639,-72.7358,72.05,99,98,2.26,CO,1682313936
230,pastavy,55.1168,26.8326,53.06,71,16,10.56,BY,1682313936
